deneme,n_intervals,interval_ms,rnn_type,hidden,layers,bidir,dropout,pooling,batch,lr,weight_decay,parametre,best_epoch,val_accuracy,val_macro_f1,saniye
1,24,400,gru,192,1,False,0.4,attn,128,0.00213,0.0001,138439,6,0.5235,0.5175,8.3
3,48,150,gru,96,1,True,0.4,mean,64,0.00241,0.001,82950,8,0.5549,0.5483,11.7
2,24,150,lstm,256,3,True,0.4,max,128,0.00093,0.0,3775494,12,0.5253,0.516,25.7
4,16,400,lstm,256,3,True,0.3,mean,128,0.0005,0.0,3775494,14,0.5166,0.5151,21.0
6,32,400,lstm,320,3,True,0.3,max,128,0.00261,0.0001,5866246,9,0.5305,0.5269,18.6
7,48,300,gru,256,1,False,0.4,mean,64,0.00117,0.001,233478,8,0.5331,0.5278,15.0
9,40,150,lstm,128,1,True,0.1,mean,128,0.00061,0.001,179718,14,0.5296,0.525,6.3
8,32,150,gru,128,3,False,0.3,attn,128,0.00083,0.0,265863,24,0.5392,0.5365,10.0
10,24,300,lstm,256,2,True,0.4,mean,128,0.00099,0.001,2198534,9,0.5226,0.518,12.4
5,40,250,lstm,320,3,True,0.2,max,32,0.00255,0.001,5866246,7,0.5322,0.5296,67.4
11,24,300,lstm,192,3,True,0.5,attn,64,0.00269,0.0001,2143879,10,0.5357,0.5294,25.3
13,24,150,lstm,96,3,True,0.1,last,64,0.0019,0.0,555654,13,0.5131,0.5084,16.5
12,40,250,lstm,256,3,True,0.2,mean,128,0.0003,0.001,3775494,18,0.5348,0.53,30.1
14,32,200,gru,192,2,True,0.2,mean,64,0.00056,0.001,942342,21,0.5679,0.5648,26.9
16,32,300,gru,192,1,False,0.5,mean,128,0.00067,0.0001,138246,20,0.5148,0.5119,9.0
17,16,200,gru,96,3,True,0.4,attn,128,0.00031,0.0,417223,19,0.5322,0.5287,10.9
18,48,300,gru,256,3,False,0.4,last,128,0.0005,0.0001,1022982,12,0.5375,0.5358,14.5
15,24,250,lstm,256,3,False,0.4,attn,32,0.00134,0.0,1363719,10,0.5253,0.521,35.1
19,24,200,lstm,96,1,False,0.3,mean,64,0.00227,0.001,55110,11,0.5113,0.5025,7.1
20,32,200,gru,320,1,False,0.2,last,64,0.00031,0.0,353286,16,0.5322,0.5326,14.7
22,40,150,lstm,192,1,True,0.2,max,128,0.00064,0.0,367878,16,0.5296,0.5275,9.2
21,32,150,lstm,320,1,False,0.1,attn,64,0.00049,0.001,470727,16,0.5235,0.5246,17.5
23,32,300,gru,256,3,False,0.5,attn,128,0.00049,0.0,1023239,20,0.534,0.531,15.5
24,16,150,gru,128,3,True,0.3,max,128,0.00037,0.001,728070,26,0.5061,0.5056,11.9
25,32,250,gru,192,1,False,0.2,last,64,0.00066,0.0,138246,23,0.5488,0.5424,17.5
26,40,150,gru,128,2,True,0.5,attn,32,0.00072,0.001,431879,9,0.5645,0.5622,21.0
28,32,150,gru,96,2,True,0.1,mean,32,0.00124,0.001,249990,8,0.5479,0.5435,19.0
29,40,200,gru,128,1,True,0.4,attn,128,0.00039,0.0001,135431,24,0.5444,0.5414,10.4
27,48,200,lstm,192,2,True,0.4,max,32,0.00111,0.0,1255686,7,0.5453,0.5455,35.6
32,24,400,lstm,192,2,True,0.5,mean,64,0.00181,0.0,1255686,6,0.5305,0.5253,12.5
30,48,250,lstm,96,1,False,0.1,last,32,0.00155,0.0001,55110,19,0.5078,0.5009,21.2
31,48,250,lstm,256,1,True,0.3,attn,32,0.00085,0.0001,622087,9,0.5436,0.5367,31.9
34,32,150,lstm,320,2,True,0.3,last,128,0.00064,0.001,3403526,25,0.5427,0.5418,21.9
35,48,400,gru,96,1,False,0.1,max,128,0.00037,0.0,41478,32,0.5052,0.4969,9.1
33,24,250,lstm,96,2,True,0.5,max,32,0.00036,0.0001,332934,17,0.5357,0.5312,26.5
36,16,150,lstm,192,2,False,0.2,last,128,0.0013,0.0001,480390,18,0.5,0.4958,7.7
37,16,400,gru,128,1,True,0.3,max,32,0.00269,0.001,135174,8,0.5261,0.5224,11.4
39,40,400,gru,192,1,False,0.4,max,128,0.00043,0.0001,138246,25,0.527,0.5241,11.1
40,48,300,lstm,128,2,False,0.1,attn,128,0.00031,0.0,222087,31,0.5017,0.4964,12.2
38,48,400,gru,128,3,True,0.3,mean,32,0.00059,0.0001,728070,9,0.5514,0.5489,20.3
42,16,200,gru,320,2,False,0.2,mean,64,0.00092,0.0001,969606,11,0.5314,0.526,12.2
41,16,250,gru,128,2,False,0.4,attn,32,0.00115,0.001,166791,7,0.5157,0.5132,13.3
44,32,200,gru,192,2,False,0.5,max,32,0.00098,0.001,360582,9,0.5444,0.5432,23.7
45,40,400,gru,320,3,False,0.2,mean,64,0.00037,0.0001,1585926,16,0.534,0.5309,31.9
46,24,400,gru,256,3,False,0.3,attn,128,0.00158,0.0,1023239,9,0.5209,0.5151,10.1
48,16,300,gru,256,2,False,0.2,max,64,0.00214,0.0,628230,9,0.5226,0.5191,14.0
43,40,200,lstm,320,3,False,0.2,last,32,0.00156,0.001,2113926,21,0.5305,0.5296,76.2
47,48,150,gru,192,3,True,0.3,last,32,0.00101,0.001,1608198,6,0.5549,0.5497,40.4
51,24,250,gru,192,2,False,0.4,mean,128,0.00043,0.0001,360582,20,0.5322,0.5302,10.8
49,48,300,gru,256,3,False,0.1,max,64,0.00275,0.0,1022982,15,0.5296,0.5259,35.1
53,48,150,gru,96,3,False,0.5,max,64,0.00106,0.001,153222,23,0.5209,0.5183,18.5
50,40,400,gru,320,2,True,0.1,mean,64,0.0003,0.0,2553606,20,0.5531,0.5517,41.4
54,32,400,gru,256,3,False,0.3,max,128,0.00064,0.0001,1022982,16,0.5279,0.5285,15.2
52,40,300,gru,320,2,True,0.3,last,32,0.00217,0.0,2553606,6,0.5479,0.544,39.4
56,48,300,lstm,128,2,True,0.3,last,128,0.00262,0.0001,574982,20,0.5113,0.5073,10.0
55,32,400,lstm,256,1,True,0.3,mean,64,0.00094,0.001,621574,31,0.5392,0.5372,33.9
57,48,300,lstm,320,3,True,0.4,mean,128,0.00282,0.001,5866246,14,0.5322,0.5275,30.7
58,32,150,gru,256,2,True,0.1,last,64,0.00077,0.0001,1649670,9,0.554,0.5498,25.4
60,16,400,lstm,96,3,False,0.1,mean,128,0.0008,0.001,204102,15,0.493,0.4888,6.5
59,40,400,lstm,192,2,True,0.4,last,64,0.00061,0.001,1255686,14,0.5287,0.5245,25.6
