stage,feature_fingerprint,feature_config,model_config,parameters,best_epoch,epochs_trained,stopped_early,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,seconds
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,11,19,True,2.680644701062147,0.3850415512465374,0.25823358487292913,0.22743736192707456,0.41527021209416976,14.1
search,seq_8c73e2b1fbfd,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 16, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,16,24,True,4.291725804601019,0.4293628808864266,0.26267672825049876,0.24688336714760875,0.43560298577381074,15.8
search,seq_7230bfa010b3,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 32, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,14,22,True,3.627854546681666,0.4155124653739612,0.2759205048139474,0.2633312057085808,0.43840568003151786,21.3
search,seq_55037f969359,"{""hop_length"": 160, ""interval_ms"": 200, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,13,21,True,3.817288525547017,0.4155124653739612,0.23657732674126117,0.2238691333407186,0.4368376206297346,15.6
search,seq_c48378f1938b,"{""hop_length"": 160, ""interval_ms"": 400, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,20,28,True,6.14940709882826,0.47645429362880887,0.23984300459710292,0.244481498260568,0.46445351677104557,20.7
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""lstm""}",1255686,15,23,True,3.6659512090550894,0.3268698060941828,0.23625856535692602,0.1994783257460742,0.36431379655351837,20.3
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 96, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",249990,18,26,True,3.679929581375333,0.3988919667590028,0.2546491456327522,0.24181953766837957,0.4318398302998225,12.9
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 256, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",1649670,22,30,True,6.038681861106048,0.42382271468144045,0.23871432908318158,0.23578184938059024,0.4346125892307405,29.4
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 1, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",276486,12,20,True,2.908948360717858,0.3850415512465374,0.2574149969641773,0.22468613172820526,0.42220862404707704,9.8
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": false, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",360582,5,13,True,1.7643228617401334,0.3296398891966759,0.2667241304536387,0.2158253955500584,0.371159776147972,6.6
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""last"", ""rnn_type"": ""gru""}",942342,5,13,True,1.8704750382669084,0.31301939058171746,0.2248091768583572,0.20428055280083046,0.3700316113438028,9.6
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""max"", ""rnn_type"": ""gru""}",942342,11,19,True,2.5125232026847777,0.4182825484764543,0.29291785931130193,0.25935692615479095,0.4451026241301597,14.1
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.1, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,5,13,True,1.7530116387681618,0.3518005540166205,0.2367226125422847,0.20456968185167423,0.39001660518313347,9.6
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.5, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,24,32,True,6.268180092946314,0.481994459833795,0.24001648018041458,0.2392543213726747,0.47860733888444223,23.6
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.0003, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,11,19,True,1.7327100920214877,0.33518005540166207,0.283345259779686,0.2235683841407958,0.36410884506207597,14.0
search,seq_2730cf01e117,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 24, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 32, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,5,13,True,1.7604059964996295,0.3545706371191136,0.2455969728510712,0.22155097749926012,0.39688773801169014,18.6
refine,seq_84d27452ab4f,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 40, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,23,31,True,4.965166765567008,0.44321329639889195,0.24991217798594845,0.2446135045163842,0.4559638179635386,33.0
refine,seq_70fa51cf378a,"{""hop_length"": 160, ""interval_ms"": 200, ""n_fft"": 512, ""n_intervals"": 32, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,3,11,True,1.7214789981657117,0.3490304709141274,0.29453877179287014,0.2178008263765916,0.3908610637340807,9.1
refine,seq_bd3f2005ffe5,"{""hop_length"": 160, ""interval_ms"": 400, ""n_fft"": 512, ""n_intervals"": 32, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",942342,8,16,True,1.9335179649231506,0.3185595567867036,0.24402593459970512,0.21299912948687352,0.36125021271292906,13.3
refine,seq_7230bfa010b3,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 32, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 192, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""lstm""}",1255686,11,19,True,2.7214538202391436,0.37119113573407203,0.26323510278428314,0.22897995992827738,0.40900539712493666,19.3
refine,seq_7230bfa010b3,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 32, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 96, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",249990,3,11,True,1.7360319701588385,0.3518005540166205,0.30673302107728334,0.21793689506790945,0.3948552740811463,5.5
refine,seq_7230bfa010b3,"{""hop_length"": 160, ""interval_ms"": 300, ""n_fft"": 512, ""n_intervals"": 32, ""n_mfcc"": 13, ""sample_rate"": 16000}","{""bidirectional"": true, ""dropout"": 0.3, ""hidden_size"": 384, ""num_layers"": 2, ""optim"": {""batch_size"": 64, ""learning_rate"": 0.001, ""patience"": 8, ""weight_decay"": 0.0001}, ""pooling"": ""mean"", ""rnn_type"": ""gru""}",3654150,13,21,True,4.487635274342883,0.47645429362880887,0.23376268540202969,0.23743416561066966,0.46350415147931007,24.0
