path,corpus,speaker,split,orig_label,emotion,label_idx
data\raw\cremad\AudioWAV\1001_DFA_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_DFA_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_DFA_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_DFA_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_DFA_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_DFA_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_IEO_ANG_HI.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_IEO_ANG_LO.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_IEO_ANG_MD.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_IEO_DIS_HI.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_IEO_DIS_LO.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_IEO_DIS_MD.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_IEO_FEA_HI.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_IEO_FEA_LO.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_IEO_FEA_MD.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_IEO_HAP_HI.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_IEO_HAP_LO.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_IEO_HAP_MD.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_IEO_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_IEO_SAD_HI.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_IEO_SAD_LO.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_IEO_SAD_MD.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_IOM_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_IOM_DIS_XX.wav,cremad,1001,,DIS,disgust,1
data\raw\cremad\AudioWAV\1001_IOM_FEA_XX.wav,cremad,1001,,FEA,fear,2
data\raw\cremad\AudioWAV\1001_IOM_HAP_XX.wav,cremad,1001,,HAP,happy,3
data\raw\cremad\AudioWAV\1001_IOM_NEU_XX.wav,cremad,1001,,NEU,neutral,4
data\raw\cremad\AudioWAV\1001_IOM_SAD_XX.wav,cremad,1001,,SAD,sad,5
data\raw\cremad\AudioWAV\1001_ITH_ANG_XX.wav,cremad,1001,,ANG,angry,0
data\raw\cremad\AudioWAV\1001_ITH_DIS_XX.wav,cremad,1001,,DIS,disgust,1
