parameter_order,parameter,parameter_label,value,runs,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_median,val_macro_f1_min,val_macro_f1_max,best_trial,search_stages
1,learning_rate,Learning rate,0.001,1,0.4684975242717454,0.0,0.4684975242717454,0.4684975242717454,0.4684975242717454,4,screening
1,learning_rate,Learning rate,0.0003,26,0.45956495354792837,0.01804678627718138,0.46293523941555065,0.4165014733577537,0.4845104994621471,20,"refinement,screening"
1,learning_rate,Learning rate,0.0006,1,0.4562349748402052,0.0,0.4562349748402052,0.4562349748402052,0.4562349748402052,18,refinement
1,learning_rate,Learning rate,0.00015,1,0.4514209353817106,0.0,0.4514209353817106,0.4514209353817106,0.4514209353817106,17,refinement
1,learning_rate,Learning rate,0.0001,1,0.4424015609048668,0.0,0.4424015609048668,0.4424015609048668,0.4424015609048668,5,screening
2,hidden_dims,Gizli katman yapısı,768-384-192,1,0.4754379024518005,0.0,0.4754379024518005,0.4754379024518005,0.4754379024518005,26,refinement
2,hidden_dims,Gizli katman yapısı,512-256-128,13,0.46997330401405296,0.012071143257632028,0.4749505993433691,0.4431680853777144,0.4845104994621471,20,"refinement,screening"
2,hidden_dims,Gizli katman yapısı,1024-512-256,1,0.4628935972749359,0.0,0.4628935972749359,0.4628935972749359,0.4628935972749359,10,screening
2,hidden_dims,Gizli katman yapısı,512-256,13,0.4499876213802969,0.014370902478922212,0.4459761112302668,0.4165014733577537,0.4695109445969148,2,screening
2,hidden_dims,Gizli katman yapısı,256-128-64,1,0.4456931494716045,0.0,0.4456931494716045,0.4456931494716045,0.4456931494716045,25,refinement
2,hidden_dims,Gizli katman yapısı,256,1,0.4237271083197793,0.0,0.4237271083197793,0.4237271083197793,0.4237271083197793,8,screening
3,batch_size,Batch boyutu,128,2,0.4699696312652689,0.014540868196878193,0.4699696312652689,0.4554287630683907,0.4845104994621471,20,"refinement,screening"
3,batch_size,Batch boyutu,32,2,0.46860689094020735,0.0009040536567073987,0.46860689094020735,0.4677028372835,0.4695109445969148,2,"refinement,screening"
3,batch_size,Batch boyutu,64,26,0.4573111824320659,0.017522548893157623,0.46033445789496963,0.4165014733577537,0.479428946754948,9,"refinement,screening"
4,patience,Patience,10,1,0.479428946754948,0.0,0.479428946754948,0.479428946754948,0.479428946754948,22,refinement
4,patience,Patience,6,1,0.479428946754948,0.0,0.479428946754948,0.479428946754948,0.479428946754948,21,refinement
4,patience,Patience,8,26,0.45832437198747067,0.01723274018792188,0.4618205850104964,0.4165014733577537,0.4845104994621471,20,"refinement,screening"
4,patience,Patience,12,1,0.4459761112302668,0.0,0.4459761112302668,0.4459761112302668,0.4459761112302668,7,screening
4,patience,Patience,5,1,0.4459761112302668,0.0,0.4459761112302668,0.4459761112302668,0.4459761112302668,6,screening
5,activation,Aktivasyon,gelu,2,0.4674359711936258,0.0075146281497432965,0.4674359711936258,0.4599213430438825,0.4749505993433691,28,"refinement,screening"
5,activation,Aktivasyon,relu,26,0.46048854948161344,0.015856679055708124,0.46293523941555065,0.4237271083197793,0.4845104994621471,20,"refinement,screening"
5,activation,Aktivasyon,tanh,2,0.42983477936773407,0.013333306009980339,0.42983477936773407,0.4165014733577537,0.4431680853777144,29,"refinement,screening"
6,batch_norm,Batch normalization,true,28,0.4590367245646438,0.01736222360308418,0.4618205850104964,0.4165014733577537,0.4845104994621471,20,"refinement,screening"
6,batch_norm,Batch normalization,false,2,0.4571077499173206,0.015153159164082497,0.4571077499173206,0.4419545907532381,0.4722609090814031,27,"refinement,screening"
7,dropout,Dropout,0.2,1,0.4776496724978034,0.0,0.4776496724978034,0.4776496724978034,0.4776496724978034,23,refinement
7,dropout,Dropout,0.4,1,0.466122821616879,0.0,0.466122821616879,0.466122821616879,0.466122821616879,24,refinement
7,dropout,Dropout,0.5,1,0.4629768815561654,0.0,0.4629768815561654,0.4629768815561654,0.4629768815561654,15,screening
7,dropout,Dropout,0.3,26,0.4587124739238375,0.01739135481259503,0.46033445789496963,0.4165014733577537,0.4845104994621471,20,"refinement,screening"
7,dropout,Dropout,0,1,0.4339700899540442,0.0,0.4339700899540442,0.4339700899540442,0.4339700899540442,14,screening
8,weight_decay,Weight decay,0,2,0.4690461748895848,0.008298602143527928,0.4690461748895848,0.4607475727460568,0.4773447770331127,30,"refinement,screening"
8,weight_decay,Weight decay,0.0001,28,0.4581839799237678,0.017473159361046372,0.4614074701594092,0.4165014733577537,0.4845104994621471,20,"refinement,screening"
